datum,uhrzeit,strassenschluessel,strassennummer,vu_ort,vu_hoehe,anzahl_beteiligte,t,sv,lv,ortslage,lsa_in_betrieb,fgue,kreisverkehr,zul_geschwindigkeit,flucht,pkw,fg,rf,mofa,lkw,bus,zug,kat,art,typ,alkohol,1,1_urs,2,2_urs,3
20190308,1100,L,L885,Osttor,,2,0,0,0,1,0,0,0,,0,1,0,0,0,1,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,LKW,36,PKW,,
20190308,815,G,,Nevinghoff,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,14,PKW,,
20190308,1745,G,,Hoyastraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,14,PKW,,
20190308,1930,L,L843,Münzstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190308,1145,K,K6,Hansaring,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190308,953,G,,Finkenstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,PKW,14,PKW,,
20190308,1230,G,,Haus Uhlenkotten,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190308,1608,G,,Düesbergweg,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Unfall durch ruhenden Verkehr (RV),0,Sonstige,14,PKW,,
20190308,2225,G,,Antoniuskirchplatz,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190308,645,G,,Südstraße,,2,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,5,Zusammenstoss mit anfahrendem/anhaltendem/ruhendem Fahrzeug,Sonstiger Unfall (SO),0,PKW,36,PKW,,
20190308,805,G,,Kristiansandstraße,,1,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,5,Unfall anderer Art,Sonstiger Unfall (SO),0,LKW,36,,,
