vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,igvp
Katthagen,39,so,13.05.2018,19:10,6,,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,01,14,,,,,1,74,,1.20 °/oo,702000-024345-18/1
Hohe Geist,Parkplatz Concordia Albachten,sa,30.06.2018,12:05,5,,z,,,,,1,,,,,,,1,,,,21,ms,,,,703,,14,,,,,,21,,,
Am Kalvarienberg,vor der Sparkasse,fr,29.06.2018,14:50,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,waf,,711,,36,,,,,,78,,,
Schorlemer Straße,Ludgeriplatz,fr,29.06.2018,12:10,5,,z,,,,,2,,,,,,,1,1,,,44,bo,21,ms,,641,,26,,,,,,46,,,
Robert-Bosch-Straße,2,sa,30.06.2018,12:50,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,lh,,711,,36,,,,,,65,,,
Hammer Straße,266,fr,29.06.2018,07:15,5,,z,,,,,2,,,,,,,1,,,1,21,be,59,ms,,631,,26,,,,,,23,,,
Bahnhofstraße,Hafenstraße,fr,29.06.2018,14:00,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,waf,,601,,14,,,,,,45,,,
Roxeler Straße,Dingbängerweg,sa,30.06.2018,08:50,5,,z,,,,,2,,,,,1,,1,,,,21,ms,01,,,712,,44,,,,,,77,,,
Nevinghoff,25,mi,27.06.2018,11:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,bf,,651,,14,,,,,,34,,,
Willy-Brandt-Weg,10,so,01.07.2018,13:45,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,63,,,
An den Bleichen,12,mi,27.06.2018,20:00,5,,z,,,,,2,,,,,,,2,,,,21,m,21,gm,,712,,44,,,,,,40,,,
Ludgeriplatz,im Kreis,mi,27.06.2018,14:15,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,coe,,641,,26,,,,,,27,,,
Hammer Straße,Siemensstraße,mi,27.06.2018,15:32,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,641,,26,,,,,,72,,,
Freckenhorster Straße,,so,01.07.2018,06:50,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,,,58,,,
Silberbrink,44,fr,29.06.2018,10:12,5,,o,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,501,,14,,,,,,30,,,
Hammer Straße,B 51,fr,29.06.2018,12:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,601,,14,,,,,,53,,,
Düesbergweg,41,fr,29.06.2018,11:40,5,,o,,,,,2,,,,,,,2,,,,21,nrw,21,lh,,501,,14,,,,,,42,,,
Hammer Straße,B 51,do,28.06.2018,14:00,5,,m,,,,,2,,,,,,,2,,,,21,wi,21,so,,601,,14,,,,,,44,,,
Von-Esmarch-Straße,Albert-Schweitzer-Straße,fr,29.06.2018,06:35,5,,m,,,,,2,,,,,,,1,1,,,44,st,21,whv,,251,,14,,,,,,51,,,
Meyerbeerstraße,32,sa,30.06.2018,10:55,5,,m,,,,,2,,1,j,,,,1,,,,21,coe,71,,,711,,36,,,,,,47,,,
Grenkuhlenweg,9,sa,30.06.2018,17:00,5,,o,,,,,3,1,,,,,,2,,,,89,,21,ms,,799,,89,,,,,,45,,,
Hohenzollernring,12,fr,29.06.2018,18:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,k,,601,,14,,,,,,18,,,
Scharnhorststraße,79,fr,29.06.2018,13:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,bn,,501,,14,,,,,,25,,,
Schiffahrter Damm,Alte Schiffahrt,sa,30.06.2018,07:45,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,601,,14,,,,,,33,,,
Grevener Straße,158,fr,29.06.2018,20:15,5,,o,,,,,2,,,,,1,,1,,,,21,e,01,,,711,,36,,,,,,26,,,
Steinfurter Straße,Wilhelmstraße / Tankstelle,fr,29.06.2018,14:20,5,,o,,,,,2,,,,,,,2,,,,21,b,21,ms,,703,,14,,,,,,52,,,
Ramertsweg,Roxeler Straße,fr,29.06.2018,15:45,5,,m,,,,,2,,1,n,,,,1,,,,21,me,71,,,641,,26,,,,,,45,,,
Westhoffstraße,110,fr,29.06.2018,13:30,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,67,,,
Raesfeldstraße,34,fr,29.06.2018,12:50,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,,28,,,
Warendorfer Straße,22,sa,30.06.2018,16:40,5,,o,,,,,2,,,,,,,2,,,,21,os,21,ms,,711,,36,,,,,,66,,,
Spiekerhof,1,so,01.06.2018,14:20,5,,m,,,,,2,,,,,,,2,,,,21,m,21,ms,,711,,36,,,,,,65,,,
Büchnerstraße,18,so,01.07.2018,20:01,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,56,,,
Bismarckallee,Averkampstraße,so,01.07.2018,21:03,5,,m,,,,,2,,,,,,,2,,,,25,ms,21,coe,,501,,14,,,,1,,48,,,
Aegidiistraße,ggü. 11,sa,30.06.2018,13:10,5,,m,,,,,2,,,,,,,2,,,,21,si,21,e,,711,,36,,,,,,56,,,
Wilhelmstraße,ggü. 15,sa,30.06.2018,19:40,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,ms,,501,,14,,,,,,19,,,
Dyckburgstraße,Boniburgallee,so,01.07.2018,22:45,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,,63,,,
Neutor,Münzstraße,so,01.07.2018,21:14,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,141,,14,,,,,,80,,,
Grevener Straße,144,fr,29.06.2018,13:50,5,,m,,,,,2,,,,,,,2,,,,21,st,21,st,,602,,14,,,,,,54,,,
Steinfurter Straße,Kapuzinerstraße,so,01.07.2018,13:00,5,,o,,,,,2,,,,,,,2,,,,21,un,21,hb,,703,,14,,,,,,19,,,
Kanalstraße,Cheruskerring,sa,30.06.2018,16:55,5,,m,,,,,2,,,,,,,2,,,,21,fb,21,ms,,623,,14,,,,,,38,,,
Grevener Straße,Parkplatz ABA,sa,30.06.2018,10:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,58,,,
Tilbecker Straße,Pienersallee,sa,30.06.2018,10:08,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,712,,44,,,,,,67,,,
Westhoffstraße,Am Burloh,sa,16.06.2018,22:59,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,651,,14,,,,,,45,,,
Offenbergstraße,24,mi,27.06.2018,20:25,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,st,,501,,14,,,,,,26,,,
Liboristraße,22,mi,27.06.2018,20:20,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,77,,,
Geringhoffstraße,Kappenberger Damm,mi,27.06.2018,15:45,5,,m,,,,,2,,,,,,,2,,,,21,lh,21,ms,,623,,14,,,,,,19,,,
Friedrich-Ebert-Straße,111,di,19.06.2018,13:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,594,,14,,,,,,58,,,
Hermannstraße,73,di,19.06.2018,17:30,5,,m,,,,,2,,,,,,,2,,,,21,coe,21,bor,,501,,14,,,,,,48,,,
Dahlweg,30,so,01.07.2018,12:15,5,,o,,,,,2,,1,j,,,,1,,,,71,,21,ms,,502,,14,,,,,,14,,,
Ottmarsbocholter Straße,130,so,01.07.2018,23:30,5,,m,,,,,2,,,,,,1,1,,,,21,ms,11,ms,,302,,28,37,,,2,,29,,,
Hammer Straße,151,do,28.06.2018,18:40,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,22,,,
Hochstraße,12,do,28.06.2018,15:00,5,,o,,,,,2,,,,,,,2,,,,21,noh,21,ms,,501,,14,,,,,,20,,,
An den Bleichen,10,do,28.06.2018,21:35,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,os,,502,,14,,,,1,,21,,,
Grevener Straße,158,do,28.06.2018,22:50,5,,m,,,,,2,,,,,,,2,,,,21,oa,21,lb,,501,,14,,,,2/3,,65,,,
Schiffahrter Damm,An der Alten Ziegelei,do,28.06.2018,10:25,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,623,,14,,,,,,49,,,
Idenbrockplatz,,do,28.06.2018,17:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,b,,703,,14,,,,,,28,,,
Gartenstraße,36,do,28.06.2018,16:15,5,,o,,,,,2,,,,,,,2,,,,21,waf,21,st,,501,,14,,,,,,27,,,
Südstraße,36,do,28.06.2018,00:40,5,,o,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,501,,14,,,,2,,53,,,
Heinrich-Hemsath-Weg,3,mi,27.06.2018,21:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,59,,,
Grevener Straße,218,mi,27.06.2018,19:50,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,35,,,
Marks-Haindorf-Stiege,Am Kanonengraben,mi,27.06.2018,12:10,5,,m,,,,,2,,,,,,,2,,,,21,um,21,ms,,501,,14,,,,,,29,,,
Goerdelerstraße ,Delpstraße,mi,27.06.2018,09:05,5,,m,,,,,2,,,,,,,1,1,,,46,coe,21,ms,,502,,14,,,,,,55,,,
Albersloher Weg,Letterhausweg,mi,27.06.2018,15:25,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,be,,601,,14,,,,,,26,,,
Albersloher Weg,Letterhausweg,mi,27.06.2018,15:26,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,601,,14,,,,,,51,,,
Ostmarkstraße,92,mi,27.06.2018,12:00,5,,o,,,,,2,,,,,,,2,,,,21,pb,21,coe,,601,,14,,,,,,52,,,
Schleusenweg,ggü. 148,mi,27.06.2018,16:30,5,,o,,,,,1,,,,,,,,1,,,51,coe,,,,141,,14,,,,,,52,,,
Vollmerweg,310,mi,27.06.2018,12:15,5,,o,,,,,1,,,,,,,,1,,,40,st,,,,141,,14,,,,,,59,,,
Albersloher Weg,Bernhard-Ernst-Straße,mi,27.06.2018,14:50,5,,m,,,,,2,,,,,,,2,,,,21,st,21,m,,623,,14,,,,,,54,,,
An der Meerwiese,79,mi,27.06.2018,11:55,5,,o,,,,,2,,,,,,,1,,,1,59,ms,21,lün,,502,,14,,,,,,51,,,
Roxeler Straße,416,mo,28.05.2018,11:30,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,343,,34,,,,,,55,18,,702000-026974-18/3
Prinz-Eugen-Straße,34,mo,04.06.2018,10:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,502,,49,,,,,,F,,,702000-029530-18/4
Hafenstraße,62,do,31.05.2018,05:50,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,01,49,,,,,,33,,1.91 °/oo,702000-027578-18/4
Ewaldistraße,13,mi,30.05.2018,07:18,5,,a,,,,,2,,,,,,,2,,,,21,un,21,bor,,501,,49,,,,,,21,,,300000-056409-18/7
Hohe Geest,Rechtskurve,so,17.06.2018,05:50,5,X,,,,,,2,,,,,,,1,1,,,40,,21,ms,,681,,49,,,,,,F,,,702000-031096-18/4
Zum Erlenbusch,73,fr,08.06.2018,23:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-029324-18/5
Gasselstiege,25,fr,11.05.2018,13:55,5,X,,,,,,2,,,,,,,1,1,,,46,ko,21,do,,799,,34,,,,,,39,,,702000-024132-18/9
Altenroxeler Straße,248,fr,29.06.2018,09:40,2,,,,,1,,1,,1,j,,,,,,,,71,,,,,141,,49,,,,,,76,,,702000-034168-18/0
Altenberger Straße,34,fr,22.06.2018,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-032575-18/6
Bohlweg,3,fr,29.06.2018,13:15,3,,,,,,1,2,,1,n,,,,1,,,,71,,21,ms,,379,,37,,,,,,15,33,,702000-034248-18/0
Nordstraße,Hoyastraße,so,17.06.2018,03:15,5,X,,,,,,1,,,,,,,1,,,,21,te,,,,141,,49,,,,2/3,,24,,,702000-031086-18/3
Königsberger Straße,Hoher Heckenweg,so,17.06.2018,03:15,3,,,,,,1,1,,,,,,,1,,,,21,te,,,,199,01,49,,,,2/3,,24,,1.25 °/oo,702000-031088-18/1
Schlaunstraße,14,do,07.06.2018,02:15,3,,,,,,1,1,,1,n,,,,,,,,71,,,,,141,01,49,,,,2/3,,20,,2.08 °/oo,702000-028842-18/6
Hollenbeckerstraße,6,fr,08.06.2018,22:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,coe,,799,,49,,,,,,F,,,702000-029306-18/1
Staufenstraße,13,di,26.06.2018,02:08,2,,,,,1,,1,,1,n,,,,,,,,71,,,,,799,01,49,,,,2/3,,23,,2.11 °/oo,702000-033103-18/6
Rudolf-Diesel-Straße,2,fr,29.06.2018,13:00,3,,,,,,1,2,,,,,,,2,,,,21,coe,21,ms,,211,,35,,,,,,58,39,,702000-034246-18/2
Am Kerkamp,1,mo,18.06.2018,08:10,5,X,,,,,,1,,,,,,,,1,,,44,,,,,799,,49,,,,,,F,,,702000-031241-18/8
Schützenstraße,69,so,27.05.2018,21:53,6,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,01,49,,,,2/3,,24,,2.66 °/oo,702000-026841-18/1
Piusallee,12a,fr,29.06.2018,12:55,3,,,,,,1,2,,1,j,,,,1,,,,40,ms,72,,,243,,49,,,,,,48,42,,702000-034228-18/8
Schiffahrter Damm,200m h. Hessenweg,do,28.06.2018,07:25,3,,,,,,1,3,,,,,,,3,,,,21,te,21,st,,601,,14,,,,,,21,42,,702000-033783-18/6
Maybachstraße,1,di,29.05.2018,10:42,5,X,,,,,,2,,,,,,,2,,,,21,lh,21,ms,,799,,49,,,,,,27,,,702000-027187-18/8
Rüschhausweg,133,do,28.06.2018,14:50,5,,z,,,,,2,,,,,,,1,1,,,40,lh,21,st,,711,,36,,,,,,41,,,
Pafarrer-Ensink-Weg,Osttor,do,28.06.2018,07:00,5,,a,,,,,2,,1,n,,,,1,,,,21,coe,71,,,372,,32,,,,1,,51,,,
Amelsbürener Straße,,do,28.06.2018,15:15,5,,z,,,,,2,,,,,,,1,1,,,21,waf,44,me,,501,,14,,,,,,50,,,
Tegederstraße,18,fr,29.06.2018,17:00,5,,z,,,,,2,,,,,,,2,,,,40,ms,21,ms,,501,,14,,,,,,22,,,
Prinz-Eugen-Straße,36,di,26.06.2018,06:45,5,,z,,,,,2,,,,,,,2,,,,21,eu,21,ms,,501,,14,,,,,,23,,,
Alverskirchener Straße,Telgter Straße,do,28.06.2018,19:00,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,28,,,,,,38,,,
Albersloher Weg,Angelsachsenweg,do,28.06.2018,16:55,5,,o,,,,,2,,,,,,,1,1,,,21,be,46,coe,,633,,26,,,,,,47,,,
Hammer Straße,46,mi,27.06.2018,13:15,5,,m,,,,,2,,,,,,,1,1,,,44,ms,21,ms,,501,,14,,,,,,27,,,
Münzstraße,ggü. 27,sa,30.06.2018,17:00,5,,o,,,,,2,,,,,,,2,,,,21,nrw,21,coe,,703,,36,,,,,,35,,,
Heisstraße,Rudolfstraße,sa,30.06.2018,10:10,5,,m,,,,,2,,,,,,,1,1,,,40,te,21,ms,,502,,14,,,,,,45,,,
Theißingstraße,16,sa,30.06.2018,13:30,5,,o,,,,,1,,,,,,,1,,,,21,bf,,,,711,,36,,,,,,22,,,
Von-Steuben-Straße,19,fr,29.06.2018,16:20,5,,m,,,,,2,,,,,,,1,,1,,33,st,21,ham,,501,,14,,,,,,21,,,
Alter Steinweg,Parkhaus,fr,29.06.2018,13:45,5,,o,,,,,2,,,,,,,2,,,,21,wst,21,d,,703,,36,,,,,,20,,,
Wilkinghege,Westhoffstraße,do,28.06.2018,09:10,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,321,,28,,,,,,26,,,
Theodor-Scheiwe-Straße,2,do,28.06.2018,10:35,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,14,,,,,,55,,,
Weseler Straße,225,fr,29.06.2018,23:50,5,,m,,,,,2,,,,,,,,1,,1,22,ms,40,bor,,501,,14,,,,2/3,,54,,,
Schorlemer Straße,Herwarthstraße,fr,29.06.2018,20:15,5,,m,,,,,2,,,,,,,2,,,,21,bor,21,fb,,623,,14,,,,,,55,,,
Marienthalstraße,14,do,28.06.2018,20:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,noh,,501,,14,,,,,,48,,,
Annenstraße,7,do,28.06.2018,18:10,5,,m,,,,,2,,,,,,,2,,,,21,hf,21,st,,501,,14,,,,,,21,,,
Moltkestraße,Ludgeriplatz,fr,29.06.2018,11:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,b,,301,,28,,,,,,31,,,
Ottmarsbocholter Straße,100m h. Bönneweg,mi,27.06.2018,20:20,5,,,o,,,,1,,,,,,,1,,,,21,coe,,,,751,,86,,,,,,23,,,
Münsterstraße,112,mi,27.06.2018,22:30,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,,55,,,
Hammer Straße,26,do,28.06.2018,11:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,75,,,
Hammer Straße,158,mo,25.06.2018,09:55,5,,m,,,,,2,,,,,,,2,,,,21,re,21,st,,601,,14,,,,,,26,,,
Coerdestraße,18,di,26.06.2018,10:45,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,63,,,
Dammstraße,Parkplatz ConCorazon,di,26.06.2018,20:25,5,,m,,,,,2,,,,,,,2,,,,21,st,21,ms,,703,,36,,,,,,54,,,
Alverskirchener Straße,Wettendorf,di,26.06.2018,22:23,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,1,,39,,,
Am Kämpken,40,di,26.06.2018,15:44,5,,o,,,,,2,,1,n,,,,1,,,,71,,21,dlg,,141,,55,,,,,,14,,,
Eckener Straße,23,mo,25.06.2018,08:30,5,,o,,,,,2,,,,,,,1,,,1,59,ms,21,ms,,502,,14,,,,,,58,,,
Coerdestraße,46,di,26.06.2018,11:00,5,,o,,,,,2,,,,,,,,1,,1,59,ms,40,coe,,501,,14,,,,,,42,,,
Zur Haskenau,30,di,26.06.2018,06:58,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,,,37,,,
Kanalstraße,Einfahrt Parkhotel,di,26.06.2018,23:05,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,86,,,,2,,55,,,
Schillerstraße,83,mo,25.06.2018,11:50,5,,m,,,,,2,,,,,,,2,,,,21,st,21,waf,,711,,36,,,,,,18,,,
Kaiser-Wilhelm-Ring,30,mo,25.06.2018,08:50,5,,m,,,,,2,,,,,,,1,1,,,21,coe,46,coe,,633,,26,,,,,,67,,,
Liboristraße,5,fr,29.06.2018,20:45,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,,40,,,
Münsterstraße,29,di,26.06.2018,14:22,5,,o,,,,,2,,,,,,,1,,1,,33,st,21,ms,,501,,14,,,,,,29,,,
Münsterstraße,Amelunxenstraße,di,26.06.2018,09:10,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,st,,601,,14,,,,,,43,,,
Albersloher Weg,Hiltruper Straße,di,26.06.2018,12:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,281,,32,,,,,,30,,,
Rudolfstraße,2,di,26.06.2018,18:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,coe,,551,,37,,,,,,43,,,
Warendorfer Straße,ggü. 114,di,26.06.2018,14:31,5,,m,,,,,2,,,,,,,2,,,,21,hl,21,gt,,601,,14,,,,,,28,,,
Mauritzstraße,Eisenbahnstraße,di,26.06.2018,13:40,5,,m,,,,,2,,,,,,,2,,,,21,hg,21,ms,,252,,14,,,,,,76,,,
Engelstraße,54,di,26.06.2018,08:00,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,te,,60,,14,,,,,,28,,,
Straßburger Weg,55,di,03.07.2018,13:45,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,,49,,,,,,40,,,702000-035110-18/6
Zum Guten Hirten,14,di,08.05.2018,17:30,5,X,,,,,,2,,,,,,,2,,,,40,,21,ms,,501,,49,,,,,,F,,,702000-023659-18/1
Michaelweg,66,mi,16.05.2018,10:30,5,X,,,,,,2,,,,,,,2,,,,21,il,21,aur,,703,,49,,,,,,F,,,702000-024946-18/2
Von-Steuben-Straße,9,fr,29.06.2018,08:12,5,,a,,,,,2,,,,,,,1,,1,,33,h,21,ms,,551,,37,,,,,,32,,,702000-034143-18/3
Königsstraße,15,sa,23.06.2018,14:00,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,,,39,,,702000-032549-18/9
Rudolfstraße,15,so,03.06.2018,18:46,5,X,,,,,,2,,,,,,,1,1,,,40,,21,ms,,703,,49,,,,,,F,,,702000-028149-18/5
Münsterstraße,ggü. 203,so,10.06.2018,16:05,2,,,,,1,1,3,,,,,,,3,,,,21,pb,21,waf,,763,04,9,,,,,,63,23,,702000-029407-18/2
Warendorfer Straße,Handorfer Straße,di,03.07.2018,09:15,3,,,,,,1,2,,,,,,,1,1,,,21,ms,46,hb,,304,,28,,,,,,65,27,,702000-034945-18/7
Belholtweg,14,sa,09.06.2018,15:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,e,,799,,49,,,,,,F,,,702000-029417-18/3
Am Mittelhafen,16,fr,01.06.2018,18:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,2/3,1,F,,,702000-027858-18/8
Mondstraße,1,do,03.05.2018,17:55,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,49,,,,,,81,,,702000-022747-18/1
Geiststraße,77,mo,28.05.2018,08:45,5,X,,,,,,2,,,,,,,1,,,1,25,ms,92,,,501,,49,,,,,,65,,,702000-026970-18/7
Waldeyerstraße,,do,10.05.2018,15:15,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,799,,49,,,,,,36,,,702000-026615-18/0
Am Steintor,32,mi,13.06.2018,17:50,3,,,,,,1,2,,1,n,,,,1,,,,21,waf,71,,,342,,28,,,9,,,32,52,,702000-030256-18/1
Cheruskerring,34,fr,15.06.2018,18:00,5,X,,,,,,2,,,,,,,2,,,,92,,21,k,,799,,49,,,,,,F,,,702000-030998-18/7
Kirchstraße,60,mi,20.06.2018,17:10,5,X,,,,,,2,,,,,,,2,,,,21,ms,21,ms,,701,,49,,,,,,46,,,702000-031999-18/9
Platz der Weißen Rose,Scharnhorststraße,so,01.07.2018,11:06,2,,,,,1,,1,,1,n,,,,,,,,71,,,,,121,,89,,,,,,75,,,702000-034428-18/2
Hüfferstraße,Rishon-le-Zion-Ring,fr,29.06.2018,16:20,5,,,,,,,2,,,,,,,2,,,,21,coe,21,ms,,252,,14,,,,,,77,,,702000-034268-18/2
Weseler Straße,B 51,fr,29.06.2018,14:01,3,,,,,,1,2,,,,,,,2,,,,21,lh,21,coe,,621,,14,,,,,,55,53,,702000-035251-18/1
Westfalenstraße,203,di,19.06.2018,19:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-032167-18/5
Modersohnweg,,di,03.07.2018,21:05,3,,,,,,1,1,,1,j,,,,,,,,71,,,,,799,,49,,,,,,79,,,702000-035145-18/4
Rüschhausweg,Enschedeweg,do,21.06.2018,07:50,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-032196-18/9
Wulfertstraße,60,sa,16.06.2018,10:45,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-031015-18/7
Alter Steinweg,41,do,21.06.2018,12:08,5,X,,,,,,2,,,,,,,1,,,1,92,,21,pb,,799,,49,,,,,,F,,,702000-032165-18/7
Coerdestraße,27,di,29.05.2018,17:50,5,X,,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,49,,,,,,22,,,702000-027268-18/7
Wilhelmstraße,Edith-Stein-Straße,do,21.06.2018,00:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,,F,,,702000-032057-18/2
Philippistraße,14,fr,15.06.2018,22:38,5,X,,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,,24,,,702000-030999-18/6
Hittorfstraße,,mi,06.06.2018,17:30,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,501,,49,,,,,,F,,,702000-028514-18/8
Geringhoffstraße,44,mo,11.06.2018,17:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,703,,49,,,,,,F,,,702000-033060-18/3
Brüningheide,121,di,03.07.2018,07:00,3,,,,,,3,2,,,,,,,2,,,,21,ms,21,ms,,601,,49,82,,,,,26,59,,702000-034904-18/4
Königsberger Straße,8,mo,07.05.2018,08:30,5,X,,,,,,1,,,,,,,,,,1,92,,,,,799,,49,,,,,,F,,,702000-023442-18/3
Vivaldistraße,Rumphorstweg,mi,04.07.2018,13:55,5,,a,,,,,2,,,,,,,1,1,,,40,un,21,ms,,306,,14,,,,,,34,,,
Hammer Straße,12,mi,04.07.2018,10:00,5,,z,,,,,2,,,,,,,,1,1,,33,waf,21,waf,,501,,14,,,,,,34,,,
Schiffahrter Damm,30,mi,04.07.2018,18:15,5,,z,,,,,2,,,,,,,1,1,,,40,bn,21,st,,601,,14,,,,,,20,,,
Catharina-Müller-Straße,8,mi,04.07.2018,14:15,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,,66,,,
Kardinal-von-Galen-Ring,Torminbrücke,mi,04.07.2018,15:45,5,,m,,,,,2,,,,,,,1,1,,,46,ms,21,ms,,501,,14,,,,,,19,,,
Prozessionsweg,74,sa,30.06.2018,15:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,73,,,
Domagkstraße,5,mi,04.07.2018,11:10,5,,o,,,,,1,,,,,,,,1,,,40,bn,,,,141,,14,,,,,,27,,,
Dieckmannstraße,116,mi,04.07.2018,11:30,5,,o,,,,,2,,,,,,,1,1,,,21,ms,11,ms,,711,,36,,,,,,73,,,
Hoher Heckenweg,249,mi,04.07.2018,13:10,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,wn,,711,,36,,,,,,56,,,
Kinderhauser Straße,59,mi,04.07.2018,10:00,5,,o,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,,,46,,,
Werlandweg,7,mi,04.07.2018,07:10,5,,m,,,,,1,,,,,,,,1,,,40,el,,,,502,,14,,,,,,38,,,
Weseler Straße,Kolde-Ring,mi,04.07.2018,14:55,5,,m,,,,,2,,,,,,,2,,,,21,b,21,re,,641,,26,,,,,,21,,,
Leostraße,Graelstraße,mi,04.07.2018,07:40,5,,o,,,,,2,,,,,,,2,,,,21,gt,21,bor,,594,,14,,,,,,22,,,
Hogenbergstraße,21,mi,04.07.2018,11:02,5,,m,,,,,3,,,,,,,2,1,,,40,st,21,ms,,502,,14,,,,,,48,,,
